conversation_id,summary,concatenate
1011117457463902208,,"Jodoh tidak dicari, tetapi ""dibuat"".  Sebuah utas pendapat. Jangan repot-repot membaca, jika kau merasa menikah tak cocok untukmu. Setiap orang punya jalan berbeda menuju bahagia. Tak ada yang namanya jodoh hingga kau mau belajar menerima kekurangannya. Tak ada cinta sampai kausadar bahwa yang bisa diberikan seseorang adalah apa yang dia punya, bukan apa yang kaumau. Tak ada bahagia begitu kau ingin lebih bahagia lagi. Jodoh sama seperti cinta &amp; kebahagiaan. Mereka tidak dicari dan ditemukan, tetapi dibuat, dibangun, dikelola, ditumbuhkembangkan, atau setidaknya dipertahankan. Jangan berpikir akan ada cinta, kebahagiaan, atau jodoh, yg begitu ditemukan maka ia akan sempurna untuk selamanya. Ada yg bilang, jodoh yg baik itu yg punya banyak kesamaan. Benar, karena kalian akan mudah membangun hubungan, bisa melakukan banyak hal bersama-sama. Ada juga yg berpendapat, jodoh yang baik itu justru yang banyak perbedaan. Benar juga, karena kalian akan saling melengkapi. Yang sebelum menikah telah lama saling mengenal, ada juga yang terjungkal. Yang menikah setelah perkenalan singkat, ada juga yang sampai berkarat. Perempuan itu seperti gading: tak ada yang tak retak. Namun, celah retakannya itu nanti yang paling kaucari. Pun pria, tak ada yang tidak terbengkalai. Karena itu kami punya payudara yang tak terpakai, sesuatu yang serbatanggung, entah ekor, entah belalai. Artinya, semua tipe akan cocok jadi jodoh jika kau mau mencocok-cocokkan. Sebaliknya, semua akan bermasalah jika kau terus mencari celah. Jodoh itu harus kau “buat” dan “bangun” dari awal. Orangya bisa siapa saja. Agar calon jodohmu lebih banyak, caranya simpel saja: permudah syaratnya. Tak ada yang mempersulit jodohmu kecuali dirimu sendiri. Ini bukan hendak menganjurkanmu mengawini kucing dalam karung. Soal perkawinan, kucing sangat menyebalkan. Berisik, anjir! Ini sekadar mengajakmu mengubah cara berpikir. Tak ada jodohmu di seberang sana yang menunggumu menemukannya. Sama persis jika kau sulit berbahagia, permudah syaratmu untuk merasa bahagia. Tidak ada yang menjauhkanmu dari kebahagiaan, kecuali dirimu sendiri. Menikah adalah kerja tim. Fondasinya kompromi. Nyawa kompromi adalah komunikasi. Pintu komunikasi adalah penghormatan. Bibit penghormatan adalah kepercayaan. Dengan itu semua, jangankan manusia—bagaimana pun sifat dan karakternya—hewan buas pun bisa kau ajak bekerja sama. Malah, semakin keras kau berupaya membentuknya menjadi X, semakin besar kemungkinannya dia akan ""memberontak"" karena ingin menjadi Y. Pernikahan adalah proses belajar yang tak pernah selesai, bahkan setelah kau cerai :)) Tidak hanya pasangan, kau juga tidak bisa menentukan bagaimana kelak karakter dan sifat anak-anakmu kelak, sekeras apa pun kau berusaha mencoba “membentuk” mereka. Udah. Ikan kakap ikan gabus. Banyak cakap, tak bagus.  Oke. Sekarang putuskan saja siapa yang akan kaubuat menjadi jodohmu. Biar pesta kita."
1008545231208214530,,"Dari 32 negara peserta #PialaDunia2018, ada delapan yang nama negaranya menarik untuk didedahkan. Berikut utas pembahasannya. #EtimologiNegara  1. Inggris (Ing: England): Nama dalam bahasa Indonesia ""Inggris"" diserap dari bahasa Portugis ""Ingrês"". #EtimologiNegara #ENG. . 2. Islandia (Ing: Iceland): Nama dalam bahasa Indonesia ""Islandia"" diserap dari bahasa Belanda ""IJsland"". @KompasGramedia memakai ""Eslandia"".  #EtimologiNegara #ISL. 3. Jepang (Ing: Japan): Nama dalam bahasa Jepangnya 日本 (Nihon atau Nippon). Nama dalam bahasa Indonesia ""Jepang"" diserap dari bahasa Tionghoa dialek Wu 日本 (Zeppen).  #EtimologiNegara #JPN. 4. Mesir (Ing: Egypt): Nama dalam bahasa Arabnya ""مَصر"" (Misr). Nama dalam bahasa Inggris ""Egypt"" diserap dari bahasa Yunani Kuno ""Aígyptos"", yaitu Aigaiou + huptiōs (di bawah [laut] Aegea).  #EtimologiNegara #EGY. 5. Prancis (Ing: France): Nama dalam bahasa Indonesia ""Prancis"" diserap dari bahasa Portugis ""Francês"". @KompasGramedia memakai ""Perancis"".  #EtimologiNegara #FRA. 6. Spanyol (Ing: Spain): Nama dalam bahasa Spanyolnya ""España"". Nama dalam bahasa Indonesia ""Spanyol"" diserap dari bahasa Belanda ""Spanje"". Nama dalam bahasa Inggris ""Spain"" diserap dari bahasa Latin ""Hispania"".  #EtimologiNegara #ESP. 7. Swedia (Ing: Sweden): Nama dalam bahasa Swedianya ""Sverige"". Nama dalam bahasa Inggris ""Sweden"" diserap dari bahasa Belanda Abad Pertengahan ""Sweden"".  #EtimologiNegara #SWE. 8. Swiss (Ing: Switzerland): Nama dalam bahasa Prancisnya ""Suisse"". Nama dalam bahasa Inggris ""Switzerland"" dibentuk dari ""Schwyz"", yaitu nama salah satu kanton di Swiss.  #EtimologiNegara #SUI. Nama 24 negara peserta #PialaDunia2018 yang lain dalam bahasa Indonesia dan bahasa Inggris cukup mirip sehingga tidak saya bahas. Semoga bermanfaat. Bonus #EtimologiNegara dari tiga negara yang tidak masuk final #PialaDunia2018: Belanda, Yunani, dan Pantai Gading. Mudah-mudahan menjadi hiburan bagi pendukung tim nasional negara-negara tersebut. 1. Belanda (Ing: Netherland): Nama dalam bahasa Belandanya ""Nederland"" atau ""Holland"". Nama dalam bahasa Indonesia ""Belanda"" diserap dari bahasa Portugis ""Holanda"".  Beberapa dugaan lain asal nama ""Belanda"" dapat dibaca di sini:  https://t.co/mD4OvePE9l  #EtimologiNegara #NED. 2. Yunani (Ing: Greece): Nama dalam bahasa Yunaninya Ελλάς (Hellas) atau Ελλάδα (Elláda). Nama dalam bahasa Indonesia ""Yunani"" diserap dari bahasa Arab يونان (yunan), dari nama ""Ionia"", daerah pesisir barat Turki yang dahulu dihuni orang Yunani.  #EtimologiNegara #GRE. 3. Pantai Gading (Ing: Ivory Coast): Nama dalam bahasa Prancisnya ""Côte d'Ivoire"". Pada tahun 1986, pemerintah negara ini meminta nama negaranya tidak diterjemahkan untuk diplomasi internasional. Namun, banyak bahasa tetap menerjemahkannya.   #EtimologiNegara #CIV."
1006320835898904576,,"Mumpung selo, mau post nama-nama makanan khas Solo dan di mana bisa menemuinya.  Sebuah utas. . 1. Pecel Solo - Waroeng Tempo Doeloe (Mangkubumen). Beras merah, sayur-mayur,  sambel pecel (yogenah). Lauk wader dan belut goreng. Ada menu lain seperti tumpang atau sambel goreng krecek. Minumnya temulawak  https://t.co/1eYDZ0wahU. 2. Soto Triwindu. Ordo soto kuah bening. Cukup legendaris. Rasa kuah gurih dan rempah dimasak dalam kuali dan pembakaran pakai arang. Potongan daging sapi besar-besar. Buka pagi hari.  https://t.co/EPLN8mPIz5."
1005761684357574656,,"""Siapa sih yang nggak baper sama Jogja""  Inilah rekomendasi tempat-tempat menarik di Jogja versi Albertna yang bisa kamu kunjungi di musim libur ini, atau kapan pun kamu bertandang ke kota ini.  (SEBUAH UTAS)  https://t.co/bdPwS0zcpT. Pantai Cemara Sewu  Pantai ini di daerah barat Pantai Parang Tritis. Cocok buat yang suka pantai yang masih relatif alami, sepi, dan teduh karena banyak cemara. Relatif dekat dibandingan jika harus menuju Gunung Kidul  https://t.co/t0cykiN2EV. Gumuk Pasir &amp; Kebun Bunga  Persis di seberang pintu Pantai Cemara Sewu, ada objek wisata gumuk pasir tempat sand boarding dan ada kebun bunga matahari yang super gemas.   Kalau datang siang hari, bisa jadi religius karena ingat kejamnya neraka saking panasnya pasir di gumuk pasir  https://t.co/rAz3Ofh7xH. Ke arah barat dari Gumuk Pasir dan Pantai Cemara Sewu, ada landasan pesawat dari TNI AU yang boleh dimasuki warga. Biasa jadi tempat foto, ngetes mobil, ngetes motor, atau lari-lari juga asik di sini.  https://t.co/uaXVAH916J. Sorenya, balik ke arah Malioboro. Di depan Pasar Bringharjo ada yang jual Putu, Klepon, Onde-Onde, sama Lumpia enak banget. Mana super murah lagi!   Beneran enak sih, apalagi lumpianya. Beda banget sama Lumpia Semarang.  https://t.co/Vyk1VGu9Ob. Mangut Lele  Kalau suka pedas, harus cobain makanan ini. Mangut Lele Mbah Marto di daerah Bantul. Agak masuk sih, patokannya depan kantor pos bantul. Di dekatnya juga ada mangut Mak Badar. Surga banget buat yang suka makanan pedas dan porsinya banyak. Karna nasi ambil sendiri.  https://t.co/sNfxByDXt2. Kalau ga sanggup kena matahari, bisa melipir bentar ke Tempo Gelato di Prawirotaman.   Gelatonya standar aja sih menurut saya, cuma suasananya asik. Adem juga tempatnya. Oiya, daerah Prawirotaman ini mirip Legian di Bali. Jadi menyenangkan buat jalan kaki.  https://t.co/xSxV9JfRMF. Pasta Banget Signature  Ini asik banget buat dinner dengan menu western tapi suasananya Indonesia abis. Secara di tepi sawah, dengan suara serangga malam. Syahdu abis deh. Harganya juga murah. Lokasinya di Jalan Watugede di Google Maps ada kok. Rada masuk soalnya hehe.  https://t.co/qwg7V1D4BF. Mie Ayam Bu Tumini  Lokasinya persis di sebelah Terminal Giwangan. Yaampun ini mie ayam enak bener deh. Legend. Mienya kenyal, berpadu kaldu, ayam yang manis dalam kuah kental yang kaya rempah, minyak, dan menciptakan rasa nan creamy. Coba menu sawi dan cekernya jugak.  https://t.co/txNkAK3TPO. Limasan 514  Rekomendasi tempat nginap yang asik di Prawirotaman. Guest housenya kaka @ubermoon nih. Asri banget, tenang, kamarnya luas, dan ada limasan asik buat goler-goler mager siang-siang.  https://t.co/Rug2YfAnzf. Ada juga Bedjo Homestay.   Bentuknya dorm gitu, ada kolam renang juga. Ada parkir mobil luas. Cocok buat geng-geng gembira yang libur rame-rame.  https://t.co/q3vCPFzxc5. Monalisa Burger  Ini legend juga nih. Burger lokal, harga miring, tapi rasanya internasyenel. Lokasinya di tenda gitu, depan sekolah vokasi UGM yang rame-rame kuliner. Saos burgernya sih yang bikin spesial. Mantap kali racikan bumbunya.  https://t.co/Uzct7dQiFE."
1078588664358129664,,"Di tab mention masih banyak banget yang nanya “Gimana sih cara buatnya?” pada postingan #ChatBubbleStories yang aku retweet. Beberapa juga minta dibuatkan utas di sini. So… as you wish.  Sebuah utas: Cara Membuat #ChatBubbleStories untuk iPhone &amp; Android  https://t.co/7asxCuqIlV. Pertama, pasang aplikasi untuk menghapus latar chat. Magic Eraser (ME) untuk iPhone; Background Eraser (BE) untuk Android.  https://t.co/2VoIE9XYZ5. Masuk ke tahap pertama. Perlu dicatat! Ganti latar chat pakai warna solid. Usahakan yang kontras dengan warna bubble chatnya.  Crop bagian yang ingin ditampilkan saja. Lalu, hapus dg mode Magic Wand (iPhone) dan atur tolerance; mode Auto (Android) dan atur threshold.  https://t.co/W4YAwl75xw. Di BE (Android), kamu bisa atur pinggirannya biar lebih halus. Sorry, Apple Fanboy. Kalian gak ada fitur ini.  Lalu, simpan. Untuk iPhone, ini penting! Simpan dalam format PNG.  https://t.co/jvzmF3wNAF. Untuk Android, buka PL. Masukkan foto yang mau dijadikan latar. Tambahkan foto penggalan chat dari BE. Atur besar gambar sesuai keinginan. Simpan. Silakan bagikan di Instastories.  https://t.co/9rsiHrndFb. Sudah banyak yang setor hasil #ChatBubbleStories ke aku. Semoga thread ini bisa membantu yang masih belum tau. Buat yang sudah tau, semoga semakin kece hasilnya.  🗣 TUTORIALNYA DALAM BENTUK VIDEO AJA DONG…  Udah. Cek IGTV, ya. Atau klik link ini:  https://t.co/nc8RFpTk4y."
1067030222397206528,,"Jadi beberapa saat lalu, ada artis WebToon yang ngobrol ngobrol sama saya tentang depresi. Menariknya, dia membuatkan beberapa gambar ilustrasi yang keren banget tentang depresi  Semua gambar dalam utas ini dilukiskan oleh @panderuu  https://t.co/oxc7wcRvov. Depresi adalah disease. Depresi itu gangguan, bukan galau, lebay, cari perhatian, lemah, kurang ibadah. Bukan sama sekali  Depresi itu sakit, sakitnya di fungsi otak. Cuma yang berbeda adalah gejala sakitnya, gejala sakit kali ini adalah perasaan dan pikiran yang terganggu  https://t.co/lUKj00GN4O. Gejala depresi adalah tidak bisa merasakan senang, tidak bertenaga, perasaan yang murung, dan ini terjadi terus menerus secara konsisten.  Kalau sudah begini jangan dikasi motivasi, semangat dsb, sia sia. Dengarkan dia dan ajak ke profesional segera  https://t.co/u8VAADPUbg. Disini ada beberapa layanan online untuk konseling awal. Siapa tau bisa membantu  Namun perlu diingat, pertemuan tatap muka antar manusia itu tidak bisa digantikan.  Jadi jika ada yang terganggu karena depresi, yuk ajak bertemu profesional  https://t.co/GiWB4DSfMq. Banyak orang tau kalau #TemanCerita yang bisa memahami dan mendengar itu penting, tapi ga tau gmn caranya. Kira-kira kalau saya buat komunitas/kelas yang bahas cara jadi #TemanCerita yang baik adakah yang tertarik? Dan di kota mana aja kira kira buatnya?  https://t.co/sU4dafyIpP."
1059808876193710080,,"Apakah jika seorang seseorang yang diperkosa tidak melawan maka artinya dia menikmati?  Apakah jika seseorang yang diperkosa orgasme maka artinya dia menikmati?  Bagaimana dunia kedokteran melihat ini?  Yuk baca utas ini pelan-pelan sebelum nyalahin korban ya.. Ketika penyintas pemerkosaan diwawancarai, mereka sering melaporkan ""tidak bisa bergerak"" pada saat kejadian.  Apakah mereka ga sadar? Ya sadar penuh, tapi ga bisa bergerak.  Ga usah diperkosa, perempuan dipinggir jalan yang diremas payudaranya itu akan ""tidak bisa bergerak"". Ketika rasa takut itu begitu memuncak, amygdala (salah satu bagian otak) membajak otak kita yang lain sehingga kita tidak bisa bergerak, namun tetap sadar penuh!  Bisa bayangkan betapa mengerikannya? Kamu ingat detil kejadian pemerkosaan itu tapi ga bisa bergerak. Bayangin dulu.. Jadi jelas ya, korban pemerkosaan yang diam itu bukan karna suka.  Dan jelas orgasme nya korban juga bukan karna suka  Dilihat dari sudut pandang manapun, harusnya pelaku yg disalahkan, tapi kenapa kita sering menyalahkan korban?  Bener bener ga masuk akal buat saya. Saya tersinggung jika ada yang bilang ""Kucing kalo dikasi ikan pasti dimakan"". Saya ga serendah itu, dikasi cewe cakep terus memperkosa.  Menurut saya kalimat tadi sangat merendahkan laki-laki. Tapi kok ya banyak laki-laki malah membenarkan diri dgn analogi ""kucing dan ikan"". Saya menolak laki laki disejajarkan ""kucing dan ikan"", seakan saya tidak memiliki kontrol terhadap seksualitas saya sendiri.  Bayangin kalau dokter memperkosa pasien yg telanjang? Betapa brengseknya kan? Apa masih berani bilang ""Kucing dikasi ikan""?. Laki laki bukan Kucing kelaparan, wanita bukan ikan untuk dimakan  Pemerkosaan bukan tentang kucing memakan ikan  Pemerkosaan itu tentang pelaku kriminal yang memakan korban  Korban ga salah, pelaku yang salah  Jangan dibolak balik  *Karena udah malam, maaf kalau banyak tipo ya."
1041719610083401729,,"Ada yang bilang: ""akun twitter gue, ya suka-suka gue lah.""   Apa benar begitu? Bisa jadi. Selama tidak menyalahi peraturan dari platform. Apa saja sih aturannya? Ayo kita simak.  (Sebuah Utas/Thread). 2. Walaupun Twitter mendukung kebebasan berekspresi. Namun twitter melarang pengguna platformnya untuk berlaku abusive. Yaitu tindakan2 yang melecehkan, mengintimidasi, menakut-nakuti juga membatasi kebebasan suara dari pihak lain, baik seseorang maupun kelompok.  https://t.co/HYi3pmxvRo. 3. Hal-hal abusive lain juga mencakup tindakan berbasis kebencian, yang tidak terbatas pada ujaran kebencian di dalam tweet. Pada gambar (yang menjadi meme) serta nama dan username bermuatan kebencian pun sebenarnya dilarang.  https://t.co/9JzFHgfxGF. 4. Ini sering dilakukan oleh netizen nih sebenarnya. Dilarang menyebarkan hal-hal yang sifatnya intim dan privat. Seperti meng-capture percakapan di platform lain atau DM lalu menyebarkan pada tweet, tanpa izin yang ada di dalam percakapan tersebut tanpa izin, juga dilarang.  https://t.co/Xfun0sgz8L. 5. Kalau kamu punya hak cipta terhadap suatu karya, kemudian ada pihak lain yang nyolong. Twitter melindungi hak intelektual kamu itu lho. Di bawah DMCA (Digital Millennium Copyright Act) kamu bisa melaporkan ke form ini untuk kemudian diproses:   https://t.co/kr5q1K4ZoS. 6. Untuk peraturan di twitter lebih lengkap bisa cek di sini   https://t.co/GkfTLuarzr  Sedangkan untuk pelanggaran-pelanggaran ada form lengkap yang bisa kamu isi di sini:   https://t.co/dV70aS4Bg4  Masing-masing jenis pelanggaran akan ada formnya untuk kamu isi."
1029637987406045185,,"Sebuah utas tentang rekomendasi film-film Bollywood yang menurut gw bagus.  Ga semua film Bollywood ngebosenin dengan joged muter po'on kok, karena banyak film Bollywood yang sejatinya bagus2 sebenernya mah #duileh   Baeklah mari kita mulai, Challo!!. sepasang orang tua kaya tapi mereka ga berpendidikan tinggi dan ga fasih bahasa Inggris. mereka mau anak mereka dpt pendidikan yg bagus. Akhirnya pura-pura jadi keluarga miskin&amp;tinggal dikawasan kumuh demi dapet kuota orang miskin agar anaknya diterima disekolah elit ternama.  https://t.co/znf0XyUlYX. 2. Toilet   Ini based on true story filmnya tentang tentang suami istri yang berantem besar setelah beberapa hari pernikahan karena istrinya tau dirumahnya gak ada toilet! Akhirnya si istri pergi dr rumah dan suami hrs berjuang ngedapetin istrinya lagi dengan ngebangun toilet  https://t.co/z7oVrvQ5lR. 3. Bajirao Mastani Tentang perdana menteri Bajirao yg udah punya bini tapi teteup menikahi Mastani walau ditentang banyak pihak krn beda agama, budaya dll. Sanjay Leela Bhansali emang paling jago bikin film kolosal 😍kostumnya glamour, settingnya megah, segala sesuatunya detail.  https://t.co/qx8vrB2ZS0. 4. Taare zameen paar Wajib nonton film ini untuk para orang tua dan calon orang tua. Gw mah nangis nonton nya 😭  Cerita ttg seorang anak dengan kebutuhan khusus, gimana struggle nya dia ngejalanin hari2nya, di rumah, di sekolah&amp;lingkungannya.  https://t.co/saujjKMfmp. 5. Padmaavat Film ttg perjuangan mempertahankan kehormatan yg dilakukan seorang istri, Intinya ini film adalah dalam hidup kita punya dua pilihan: menyerah kalah atau melawan, mana yang mau dipilih. Ini film buat gw megah banget, dari setting, kostum, tarian dll ga ngebosenin.  https://t.co/wH1Rf0XToP. 6. Kahani Ini adalah salah satu film thriller india favorit gw yang bikin gregetan dengan ending yang cerdas. Tentang seorang perempuan dalam keadaan hamil tua, sendirian jauh-jauh dari London ke Mumbai untuk nyari keberadaan suaminya yang ternyata terlibat dalam aksi terorisme.  https://t.co/29nGnkbAip. 7. Black Kisah pertemanan seorang gadis buta dan tuli dgn seorang guru eksentrik. Suatu hari sang guru menderita alzheimer&amp;si gadis bertekad mengembalikan kesadaran gurunya dgn cara yg sama ketika gurunya memperkenalkannya pd makna sebuah kata. Aing ceurik kokosehan nontonnya 😭  https://t.co/bGtHfuXtTG. 8. PK Waini film sejuta umat! Ini sumpah kocak, sepanjang film rahang gw pegel ketawa aplg pas adegan Pk ketemu orang lg cosplay pake kostum salah satu dewa, dikejar dong smp orangnya lari tunggang langgang. Ini filmya penuh pesan moral tentang agama, nonton aja dah sendiri.  https://t.co/TkOmbrVest. 9. Ugly Ini film thriller India dengan twist yang gw ga sangka2. ampun dah. kalo lu bisa nebak siapa pembunuh anak kecil di film ini berarti lu lah sutradaranya! Very recommended!  https://t.co/TIVuhbBNDr. 10. Drishyam Favorit!! walaupun ini film remake, ttg Vijay seorang kepala rumah tangga yg hidupnya biasa aja kemudian suatu hari harus muter otak nutupin kasus anak sama istrinya yang udah bunuh anak polisi. Film ini bikin tegang dgn ending bikin geregetan. ❤️  https://t.co/HDiAvNQlDt. 12. 3 idiots Gw nonton ni film taun 2011 atas rekomendasi temen gw, ternyata filmnya bagus, seru dan inspiratif. Film ini sebenernya menyinggung sistem pendidikan di India yang banyak kekurangannya.  https://t.co/Xv6SPjAegr. 13. Padman Wajib tonton! seorang pria prihatin dgn kondisi perempuan di India yg masih pake kain/koran bekas sebagai alas ketika mereka menstruasi krn harga pembalut mahal. Jd pria tersebut membuat eksperimen dgn memakai pembalut wanita untuk menciptakan pembalut dgn harga murah.  https://t.co/3D6678tDyk. 15. Kuch-kuch hota hai. Last but not least, sebuah masterpiece dari Karan Johar yang pasti semua orang udah apal dan tau, Tentang cinta segitiga antara Anjali, Rahul dan Tina. Ini film dulu bikin anak2 cewe di kelas gw tiba2 pade pake bando semua kaya anjali 😂😂  https://t.co/KUClxmLfV1."
1095156938331975680,,"INDIE LEBIH DARI KOPI-SENJA-CONVERSE-TOTEBAG . Sebuah utas. perihal “indie”. Seperti kita tahu, indie berasal dari kata independent, bukan Indy Barends, apalagi Indy Rakri. Itu berarti, musikus indie tidak terikat label besar dan melakukan banyak kegiatan dalam dunia musik secara mandiri (distribusi, konser, marketing, dsb). Hal ini. Akhir-akhir ini, kata “indie” mengalami pergeseran makna menjadi sekadar kopi-senja-converse-totebag serta hasrat untuk mendengarkan lagu-lagu yang tidak terkenal. Betapa menyebalkannya jika memang seperti itu. Untungnya cuma bercandaan. Tapi izinkan saya sedikit menjelaskan. “kebebasan berekspresi”. Label besar memiliki pakem untuk tetap mengikuti selera pasar pula menghasilkan uang banyak, dan ini tidak salah, karena toh ada banyak pegawai yang mesti diberi makan. Tapi pakem inilah yang pada akhirnya mengekang musikus. Maka dari itu, disebut juga DIY, atau do it yourself. Lantas, kenapa banyak musikus memilih untuk bergerak secara indie, padahal secara pemasaran dan distribusi lebih enak masuk label besar? Apalagi jika RUUP sampai disahkan, hancur sudah nasib musikus indie. Jawabannya adalah. “Berbahagialah dia yang makan dari keringatnya sendiri bersuka karena usahanya sendiri dan maju karena pengalamannya sendiri.” Mungkin, bagimu, indie hanyalah kopi-senja-hipster-snob-tai anjing. jalur indie hadir sebagai alternatif. Di jalur indie, perjuangan para musikus untuk dikenal masyarakat luas terasa lebih berat. Tapi, justru itu daya tariknya. Karena seperti kata Pram, Tapi, bagi saya, dan bagi banyak musikus lainnya, indie adalah semangat juang untuk terus berkarya tanpa dikekang selera pasar, masyarakat, juga omongan netizen. Salam hangat, tetap bergerak ✊🏼."
